time,type,monday,tuesday,wednesday,thursday,friday,saturday,sunday
breakfast,Mains,"SANDWICH, POHA & SEV, DAHI, JALEBI, MASALA OATS","MASALA CORN, BESAN CHILA, NAMKEEN SEWAIYAN","VADA/IDLI, SAMBHAR WITH 2 CHUTNEY: COCONUT & TOMATO, KALA CHANA","PANEER PARATHA, PICKLE WITH CHUTNEY & DAHI, CORNFLAKES","VADA PAV WITH CHUTNEY, OMLETTE, SUJI KA HALWA","ALOO PYAAZ PARATHA, PICKLE WITH MINT CHUTNEY & DAHI, CORNFLAKES","DOSA, SAMBHAR WITH 2 CHUTNEY: COCONUT & TOMATO, BOILED EGGS"
breakfast,Breads,"WHITE & BROWN BREAD, BUTTER & JAM, TOMATO SAUCE","WHITE & BROWN BREAD, BUTTER & JAM, TOMATO SAUCE","WHITE & BROWN BREAD, BUTTER & JAM, TOMATO SAUCE","WHITE & BROWN BREAD, BUTTER & JAM, TOMATO SAUCE","WHITE & BROWN BREAD, BUTTER & JAM, TOMATO SAUCE","WHITE & BROWN BREAD, BUTTER & JAM, TOMATO SAUCE","WHITE & BROWN BREAD, BUTTER & JAM, TOMATO SAUCE"
breakfast,Beverages,TEA/ COFFEE/ MILK WITH BOURNVITA,TEA/ COFFEE/ MILK WITH BOURNVITA,TEA/ COFFEE/ MILK WITH BOURNVITA,TEA/ COFFEE/ MILK WITH BOURNVITA,TEA/ COFFEE/ MILK WITH BOURNVITA,TEA/ COFFEE/ MILK WITH BOURNVITA,TEA/ COFFEE/ MILK WITH BOURNVITA
breakfast,Healthy Options,SPROUTS & FRUITS,BEAN SALAD & FRUITS,FRUIT OATS,SPROUTS & FRUITS,SPROUTS & FRUITS,SPROUTS & WATERMELON JUICE/ MANGO SHAKE,SPROUTS & CHOCOS
lunch,Rice,PLAIN RICE,STEAMED RICE,PLAIN RICE,LEMON RICE,KHICHDI,PLAIN RICE,STEAMED RICE
lunch,Roti,CHAPPATI,CHAPPATI,CHAPPATI,CHAPPATI,CHAPPATI,CHAPPATI,BHATURE+KULCHE
lunch,Dal,RAJMA RASILA,MIX LIGHT DAL,DAL TADKA,DAL MAHARANI,"DAL, KADHI PAKODA",KALI MASOOR DAL,PINDI CHOLE
lunch,Vegetable,ALOO KI SABZI,MATAR PANEER,SOYABEAN CHILLI,PAV BHAJI,ALOO JEERA,PANEER+EGG BHURJI,ALOO CHOKHA
lunch,Salad,GREEN SALAD,SEASONAL SALAD,KACHUMBAR SALAD,GREEN SALAD,PASTA SALAD,GREEN SALAD,GREEN SALAD
lunch,Curd/Raita/Papad,ROASTED PAPAD + CURD,CUCUMBER RAITA,CURD,BOONDI RAITA,FRIED PAPAD,PINEAPPLE RAITA,DAHI BHALLE
lunch,Extra Messing,Andha Bhurji/Paneer Bhurji/Veg or Egg Fried Rice/Half Fry/Full Fry (EXTRA MESSING COUPONS),Andha Bhurji/Paneer Bhurji/Veg or Egg Fried Rice/Half Fry/Full Fry (EXTRA MESSING COUPONS),Andha Bhurji/Paneer Bhurji/Veg or Egg Fried Rice/Half Fry/Full Fry (EXTRA MESSING COUPONS),Andha Bhurji/Paneer Bhurji/Veg or Egg Fried Rice/Half Fry/Full Fry (EXTRA MESSING COUPONS),Andha Bhurji/Paneer Bhurji/Veg or Egg Fried Rice/Half Fry/Full Fry (EXTRA MESSING COUPONS),NA,NA
snacks,Beverage,COFFEE,TEA,TEA,COFFEE,TEA,TEA,TEA
snacks,Snacks,MASALA ALOO + BREAD,BREAD + JAM,BREAD + JAM,MASALA ALOO + BREAD,MASALA ALOO + BREAD,MASALA ALOO + BREAD + JAM,MASALA ALOO + BREAD + JAM
snacks,Extra Messing,SAMOSA,SAMOSA,SAMOSA,SAMOSA,SAMOSA,SAMOSA,SAMOSA
dinner,Rice,STEAMED RICE,JEERA PULAO,PLAIN RICE,PLAIN RICE,FRIED RICE,TBA,VEG + EGG/ CHICKEN BIRYANI
dinner,Roti,CHAPPATI,PURI + CHAPPATI*,CHAPPATI,CHAPPATI,CHAPPATI,TBA,CHAPPATI
dinner,Dal,DAL PUNJABI,AMRITSARI CHOLEY,MIX DAL LIGHT,DAL MAKHANI,DAL,TBA,TOMATO PYAAZ RAITA
dinner,Vegetable,KADHAI PANEER/EGG CURRY,KADDU MASALA/ALOO TAMATAR,PANEER BUTTER MASALA/ CHICKEN CURRY,JIMMIKAND MASALA,MANCHURIAN,TBA,KALACHANA MASALA
dinner,Salad/Soup,GREEN SALAD,GREEN SALAD,GREEN SALAD,GREEN SALAD,GREEN SALAD,TBA,GREEN SALAD
dinner,Desserts,FRUIT CUSTARD,KHEER,PASTRY,GULAB JAMUN WITH ICE CREAM,TILLA KULFI,TBA,MILK CAKE
